ID,Title,Text
331,Useless Customer Service,"Ive been trying to sort out a complaint since the 14th December 2016. Ive spent hours talking with advisors online and on the telephone, unfortunately despite asking to speak to someone whom works in England im always put through to someone who is India and hasnt the authority to do anything!"
332,Poor quality.,"Broken armrest...cold tea.....menu poor, what was.left of it!"
333,Atrocious Customer Service and advice.  Will not book with Virgin Trains again!,"We needed to change our Outward journey due to Sky dictating kick-off times.  Called Virgin Trains who told me to book new tickets and post back old ones for refund to credit card, less £10 for each ticket returned. Slavishly obeyed with tickets sent with proof of postage. After approx. 4 weeks still no refund to credit card. Called Virgin Trains who accepted they had had tickets back but they were non-refundable!! I complained that I had been given wrong advice previously but told a manager would call me within 24 to 48 hours after listening to recording of initial call.  No call from manager after 3 to 4 days so called back. This time told the following: they would need to check tickets had been returned that call-backs from a manager would be within next 4 hours and that I there was every possibility that credit would be within next 2 to 3 days.  Guess what - I'm going to make yet another call to Virgin Trains and speak to someone in their atrocious Customer services department. Like a previous reviewer I'd like to leave a NO STAR rating."
334,My first long distance journey,Not just my first long distance journey but my first time in First Class.
335,train journey,my return journey 27/12/2016 newcastle to london  12:29
336,fast but expensive,bieng a uni student i love the service of vigin trains because its very fast and gets to birmingham from london within 1 an a half hours but then sometimes it costs around £100 per trip where as the national express  £20 is the maximum return tickets sometimes even in last minutes so if the target is to save time go for virgin trains but if you have an extra hour i would say go for national express.
337,"If I was CEO, I would've fired this staff on the spot.","I was in the first car, which was fairly empty. Between Penrith and Carlisle, it sounded like a hen party for all the attendants sitting in the back, talking and laughing.  Honestly, embarrassing for them, I had to ask for hot tea. How hard would it have been to check with me and the only other person in the car if they needed anything?  They have it much too easy, apparently."
338,Rip-off,"Sadistically overpriced. Overcrowded trains: unsafe number of people in carriages (was once given a ticket with no seat reservation from London to Edinburgh, with people crammed into the carriages and left to stand). Uncomfortable seats with no leg room once you do get one. Patronising marketing and design (writing under mirror: 'Go on, give us a smile!'. Not worth the ridiculous price."
339,"Travel 50 weeks a year and after trying Virgin Trains I will never go near anything Virgin,",Travel 50 weeks a year and never complain but after trying Virgin Trains I will never go near anything Virgin again.
340,customer service phone line is a joke,"I received vouchers in lieu of being delayed for 4 hours on a stationary train.  You have to call Virgin to redeem them and then you have to send the voucher by special delivery to their Edinburgh office and they post you the tickets.  I had all of my details pre-prepared and rang to book 4 journeys.  Their call centre is in India so it wasn't clear that the staff had fully understood what I'd booked so I checked the booking and one return journey had been made for the wrong month.  I rang them back and they advised me that I had to wait 72 hours before they could check the phone call recording and make sure the error was theirs and not mine.  As one of the booked journeys was only 2 weeks away I sent the voucher to Edinburgh with a letter clearly explaining that one of the bookings attached to the reference number was incorrect.  Three days later I received all of the tickets including those for the incorrect train journey.  Did no-one bother to read the letter?  I have had to ring the call centre a third time and ask why no-one has got back to me about the incorrect  booking.  They checked the booking and said there was a note to say it was their error and they agreed to re-book it for the correct dates.  I had to pay for the new booking and send the wrong tickets back to Edinburgh and await a refund.  So, they compensate me for a delayed train and then I have to spend hours on the phone and writing letters and pay £6 for special delivery twice and pay up front for a ticket that should be complimentary and then wait for a refund."
341,Liverpool lime st closed,"I am not one for entering reviews. But using Runcorn stn today due the landslide at Liverpool lime st.  Virgin had made the effort  to look after its customers, with plenty of boots on the ground.  The staff were  helpful and friendly.  Well done virgin."
342,Great journey,The train was very impressive just looking st the outside. I was sat in first class and it felt as if I was in a plane. The train was very long and looked after. Was treated to free food and drink of which we're both very nice. The train was quiet and very fast. An overall perfect experience you want when traveling the country. I'll be using this way of travelling from now on.
343,"Manic, but a one-off","People from 3 different-timed trains directed to only one, coach D (my reservation) was apparently non-existent and we were eventually told to go to coach C, wherein the reserved seats were already completely blocked up by people on coach C, who were then told to go to coach F? Terrible planning in the Ace of cancellations, but I've been on Virgin Trains before and it's been completely smooth and an easy journey. Don't think I will be travelling with them again, though, in case something like this happens again"
344,More Than Adequately Compensated,I had my railcard withheld by an incompetent manager at the Edinburgh Travel Centre in October of last year on the premise that it had been altered-which it had not.
345,Con-artists,"I bought a ticket for a virgin train which I subsequently missed by one minute (despite running) as there were works going on at one of the underground stations which delayed my journey. When I went to the ticket office to explain they told me there was nothing they could do other than pay for a new ticket and get a different service. They would not refund my ticket and said I would have to get in touch with southeastern about a possible refund. It is unbelievable that you can pay £65 for a ticket and then have such an appallingly bad service. If I could give no stars I would. Rude, incompetent and money-grabbing!!"
346,Rude male staff,I am very hard of hearing and didn't catch the description of what was on offer to eat. When the man came round I asked him to repeat it he said it was repeated twice and wouldn't let me know what was on offer he was very rude. I will not travel virgin again if this is the way passengers are treated especially with a disability.
347,Non-existent customer complaints response,"Travelled London Euston-Coventry on 5/12/16. Bought Ist Class ticket. Lack of staff, meant that there was no at seat refreshment service. Only provision was a 'free' hot drink from the on-board shop. Told that we had to buy the sandwiches that we had already paid for!"
348,Jokers,"Only use as i have no choice. Very poor service when you need to arrange a complaint / refund. Automated message saying aim to reply in 10 days, then another saying 20 days. When the finally reply its a template email. They reply with a reaponce that makes no sense to my complaint, so i reply to it, wait another 20 days and they reply with the same template email. Jokers."
349,We got the train from Newcastle to …,"We got the train from Newcastle to Edinburgh 31st jan 17 , the captain (who keeps people updated, not sure what you call him) was absolutely brilliant, really kind friendly and helpful He done an amazing job, made the journey extra perfect"
350,POOR! POOR! POOR!,"Unbelievable, not impressive and expensive. So I travelled with my family via Virgin from London to Birmingham. It cost more than the other carrier and so we expected a higher standard. We paid for a table and 4 seats with window view for our family for this long journey. Instead when we got on the train we had front facing seats, a blank wal that shielded our view,   no table  and NO STAFF TO ASSIST. We then observed people sitting anywhere they pleased despite the reserved seat signs. I am dusgusted! Needless to say I will not be travelling with Virgin again. Hopefully Richard Branson would get iff his island and tend to his business.POOR! POOR! POOR!"
351,Unbelievably shocking experience on the …,Unbelievably shocking experience on the 23rd Dec 2017.
352,Avoid Virgin Trains!,"£100 seat reservation only to end up sitting on the floor next to the toilet, as the train was jam packed. Customer service advisors are rude and unhelpful"
353,100% fare increase,"My weekly commute from Brighton to Wilmslow has just increased by 100%.  I emailed and was given a generic response.  I challenged again and VT confirmed that yes, the advance fares offered on my specific train have increased by 100%.  As they are Advance tickets it appears they are unregulated and VT can increase them at will.  Truly appalling and a major impact on the quality of my work life balance as I now need to make alternative arrangements to commute between home and work."
354,Late and filthy,"Late, filthy, need I say more! I'm surprised this company keeps going!"
355,Offered 20% discount on travel but charged full price with no discount,Virgin kindly Sent me email with 20% discount off my next travel.  Upon booking and paying for my ticket via link from Virgin.  i discovered no discount has been applied and ended paying full price. 4 calla later and no one wants to dear with issue or explain why. Having a horrible experiance. Very unfriendly and unhelpful staff.  Only would like to know why they wont give me what they offered me.
356,An absolute rip off and they have the …,An absolute rip off and they have the monopoly on certain routes like London to Manchester.
357,No problems with service on trains,No problems with service on trains. (Can’t do anything about delays as generally it’s nit their fault)
358,Monopoly = Maximised PROFITS,Monopoly Definition:
359,Seats not marked as reserved,"I got a liverpool train on 18/01/18 and reserved the seats, but in train seat numbers are not marked as reserved, because of this we had to unnecessarily argue with other passengers who sit over our seats"
360,Unfortunately I have no choice to use …,Unfortunately I have no choice to use as no option. Appalling service late trains and no information or if there is information it is wrong. Avoid
361,Hello,Hello
362,Clever way to con their customers!,"Wow, terrible customer service, staff who give completely conflicting information and a very clever way to fleece their customers.  Avoid at all cost and look forward to them losing the franchise for the rail route in due course."
363,I have just dealt with a delay claim …,I have just dealt with a delay claim which had problems on the timing on the claim with Virgin East Coast Trains Customer Services. I see a lot of negative reviews on this site but all I can say is my experience has been to the opposite. They have always been straight forward to deal with and the problem was sorted out
364,If I could get minus on the star guide …,"If I could get minus on the star guide I'd attribute that ! VIRGIN STAFF ARE DOWNRIGHT RUDE, not all but the worst are definitely on  Glasgow to London and vice versa. The Virgin Gestapo."
365,Shocking Vigin train experience,"Do you read all the reviews? This company has one of the worst ratings of all! I travelled for the first time today and before your pathetic defence of it being a bank holiday - I wish I had gone back to Heathrow even after the fiasco of yesterday's cancellations. It was literally a stampede at Kings X when the platform was announced only to find that EVERY seat was reserved, creating havoc as people crammed the train but could not sit down as only a handful of passengers had actually reserved seats. Why we're all the seats showing a reservation if they weren't?"
366,*** you and your pay-as-you-go Wi-Fi,"*** you and your pay-as-you-go Wi-Fi. Buses are providing free Wi-Fi, airports are providing free Wi-Fi, skiffs in the Mediterranean are providing free Wi-Fi. Penetrate me with your high ticket prices, but at least offer the same services as every other developed transport company, you backwards bunch of *****."
367,Disgusted!,Bought first class return ticket and part did not print. Office closed and no one was able to help! Refused to reprint part that was missing although I had email confirmation and reservation portion! Had to buy another ticket just to get home! Disgusting! Poor poor poor!
368,Mixed views,"Train journeys are efficient, punctual and the carriages are good."
369,Useles,Just like all virgin companies virgin trains are a rip off and give terrible service. 0nce again my train from London to Birmingham new street (supposedly the flagship line) was cancelled. Once again the following train was delayed. Once again the train operator didn't bother announcing how late they are and when they are likely to reach new st. The train is currently 25 minutes after when it was supposed to be getting in and dawdling along at walking pace so no idea when it will get in. So I will be getting on for an hour late again and will have missed a number of ongoing connections. Do virgin care? I don't believe so as the one time I could be bothered to ask for a refund for a £176 ticket for a train which never went anywhere I have heard nothing 2 months later. I might as well get the slow trains for a fraction of the price rather than the 170 odd quid per day ticket or the £1000 plus season ticket I currently have. Not happy at all
370,Amateur operation,Boarded at Grantham heading for London on a first class ticket - shortly after boarding they announced that they had 'run out of food' - bags of crisps offered instead.
371,Hit and miss,"I never had any serious problems with Virgin Trains - on a good day travelling with them is very pleasant, on a worse one I feel like I paid way too much for a service that didn't meet my expectations."
372,I just love sitting on the floor by the toilets!,"Due to there being far too many passengers booked onto and far too few seats on our train, we spent the whole journey sitting on the floor next to the toilets in the area between carriages along with ten other fare paying passengers and their luggage. The aisles were also full of standing, fare payers thus making seated passengers comfort and experience of the fabulous Virgin Service severely compromised. At times I thought I was back in the 80's inter railing in rural Greece but then I realised it was more like a Michael Palin trip through deepest India, I was staggered that there were not people clinging to the outside of the carriages. What a truly horrible experience this was, Virgin should be ashamed of their operation. They promise a service they don't deliver. It is totally unacceptable to treat people like cattle in 2016. Absolutely rubbish Richard."
373,Upsetting experience by catering staff,"I travelled back from Leeds to London Kings Cross, from a work trip, on the 15:15 train from Leeds to London, Kings Cross.  After settling into a seat in Carriage D I decided that I would buy some refreshment for my journey.  After a while a FULLY STOCKED catering trolley came through the carriage.  It served some people in seats two rows ahead of me, then the lady (Rebecca – I think it was) quickly whizzed past me and served a gentleman behind me.  I asked TWICE if I could be served but the lady refused, just telling me “I’ll be back”."
374,"Awful service, persistent problem","I have to travel to London at least twice a year for family or work related purposes and usually go through Preston. Nearly always there seems to b a problem at Preston that delays the journey by hours - usually something that was known about in advance. Trains cancelled without notice, trains unable to go further without a train supervisor or a driver. I now fly to London rather than take train. I have just gotten off the phone to my sister who is stranded on a train that is sitting at Preston (on her way to Liverpool) and will not be going further. They are waiting for a staff member to appear to inform them what to do next. She has a course at 9am tomorrow. The likelihood is she will have to take a taxi from where she is and have to fight for reimbursement. At times like this Virgin staff are useless, rude, and evasive if they do appear however are mostly non-existent. Virgintrains...you are terrible. It infuriates me that you are often the only choice of rail service to go south."
375,"Shocking lack of any customer care, totally ignore e mails.","Recently I was delayed on a train journey, arriving over one hour late. This caused me to miss a birthday dinner, because of the delay. As you are able to claim a re-fund I contacted them by e mail on 5th November, they replied on 7th November saying they had forwarded my e mail to Customer care. As I heard nothing, I e mailed again on 18th November, and again on 24th November.  They just do not bother to reply."
376,Train Service,Train delayed resulting in me missing my connection complained to Virgin Trains my complaint was ignored have now sent 6 E Mails still no reply this companies service is a disgrace.
377,I just paid £11 for a Stockport to Manchester return...,"I'm not a frequent train user, but today I needed to go to town so I bought a return out of the machine, one ticket came out stating 'return' on it. Since I get the train about once every 5 years I thought this was normal.  On the way back home I wasn't allowed out of the station as the guy said I should have 2 tickets, even though only one came out of the machine. He called me a liar and said my mate probably gave me ""half his ticket""  even though I was alone! (what??) Are these people for real? So I was forced into buying a new £4.00 ticket just to leave. Guy at counter was rude too. Next time I'm just gonna jump over the barrier, mugs."
378,"If I could rate 0 stars, I would","I am appalled with Virgin Trains and the way my colleague and I have just been treated by their employees. We are in London on a business trip and purchased our tickets in advance. When we got to the station in Manchester, we asked one of the Virgin Trains employees to look at our e-ticket and tell us where to go and they pointed to one of the trains and told us to go there. We got on the train and were approached by one of their employees who asked for our tickets and ended up charging us (again!) 85 GBP because we accidentally got on a train that was 10 minutes earlier (even though we were directed to it by other Virgin Trains employees!). On top of it all, the employee was extremely rude and when we tried to explain the situation which caused our confusion, he threatened us that he'd involve the police. The whole trip ended up costing us over 200 GBP and we are absolutely shocked.."
379,No refunds on E-tickets BEWARE,If you buy a ticket and choose to get an e-ticket you are no longer able to change the time/date of your train or get a refund. Even if you pay the admin fee. They hide this in their T&Cs. This wouldn't be acceptable in any other industry so don't know how they get away with this.
380,🚄 Good service,I travel from Preston to London Euston and Preston to Edinburgh using the Virgin Pendilino service at least 4 times a year and have done so for the last 5-6 years.
381,Unpleasant journey,"We went to Newcastle from Kirkcaldy on 9th December 2016 and the train was absolutely freezing. The trip back wasn't quite so bad to start with, nice quite carriage we were playing music on our phone quietly with no additional speakers the conductor passed us and said turn that music off no eye contact he just continued walking and said it's not allowed on virgin train in any carraiges. VERY RUDE STAFF. We weren't  being noisy or rowdy and couldn't see anything saying we were not allowed to play music. We certainly were not disturbing anyone. We did ask the other 2 people near us and they said there wasn't a problem conductors attitude was shocking."
382,True booking confusion and a miserable bunch of employees,"First experience with travelling and cannot believe the ridiculously poor booking system.  It's clear that some trains are faster and thus more expensive but it's very unclear that the slow one is the equivalent of riding the tube. After a incorrectly booked ticket and having to get another at the correct time (no sympathy, money lost) - I then paid £65 for first class but there wasn't anything that justified the price. Also it seems common place for everybody to just pile on regardless if they hold a first class ticket or not. The pricing on the page is not clear- they list standard tickets as off peak and off peak is put under trains that are not off peak. Did I mention it's impossible to tell what direction the train is travelling. I thought on the way home with my booked FC ticket on the fast service things would be better. I arrive, see my platform do go down and get on the train. I happen to look out and see it is a train leaving 20 minutes earlier. Figured it would be fine being not a single person is in the train car. Nope - the miserable guy setting things up might as well said get the hell off. I had an advanced ticket which he referred to as not full price. It is full price just not flexible. As the train is about to pull off I ask the manger who scathed at me with a too bad so sad attitude. Absolutely appalling customer ""service"". Avoid at all cost. Richard Branson should be ashamed putting his name in this business."
383,Inhumane way of transporting people,"Virgin trains are the pits, the worst most crowded inhumane way of transporting people, if you transported cattle in the same disgusting cramped conditions you would go to prison. My last journey was so bad that I had to get off the train and get a taxi back home, cancelling my journey, there were 27 of us crammed in the space between 2 carriages and the air was so thick and stale people were struggling to breathe. I will never travel by train again, i feel sorry for those who have no option. Disgusting service :("
384,Great customer service,"Big thank you to Mandy at Euston...courteous, polite and helpful...didn't have to be, just went that step further to help. Thank you"
385,DISABLED-UNFRIENDLY TRAVEL AND HATE-SPEECH USING STAFF,"Virgin Trains disgust me; specifically, the typical default behavior of the staff the employ at all levels disgusts me."
386,2 Hour+ Journey not heating,1st time I have ever been on a virgin train Kings Cross to Leeds. No heating on the train. I was freezing! I had to use my gloves as my hands were stinging. When we reached Leeds we were shivering with the cold. What a rubbish Service.
387,ruined our treat,"I fell for the advertising on the east coast line and took my son for an overnight stay in Durham.Booked 1st Class so we could have the, highly advertised, evening meal which was why we went 1st class. It worked well on the outward journey and we had a nice evening meal."
388,First Class was much better before Virgin,"First class used to be nice!! Nice hot meals have been replaced by ""a gourmet sausage roll with gourmet chutney""!! If you've just paid out for a first class ticket do you really want a sausage roll?!? There used to be nice cakes when it was East Coast! They've disappeared!! The nice sandwiches have been replaced by dodgy bacon sarnies and a houmous wrap where the houmous layer was so thin that they seem to have made a scientific breakthrough by splitting the houmous atom!! Used to get a cup of tea - now that gets offered to me 10 seconds before we roll into Peterborough and I don't ever really feel like a tea shot ""down in one""!!"
389,Trains were fine (even when disrupted) but NO customer service,"Before I start, I have been on trains before to London and they were fine. Yes, now and again something can go wrong but there is a level of acceptance from both ends, which can be rectified and sorted out either there and then, or by the customer service later. But being denied entry to a train that I have booked and have a reservation, then being told to get the next one in an hour, with no seat reservation, and wait an extra 30mins for the driver to turn up.... all the while wondering whether or not I was going to be stuck at my transfer destination of York because no more trains were running.... NOT acceptable. How about you honor your agreement and allow your customers to get on the train that they paid for, and sit in the seat that is reserved for them! I didn't make it to the destination I paid for, so had to pay £20 extra for a taxi on top of the disruption that was caused to my journey . Even still, when I sent a message to Virgin trains, I got a reply saying its not their problem pretty much, rather it was a different part of Virgin trains that is responsible and they will forward the message. I waited 2 months for a reply....NOTHING. Then sent another message, with an automated response saying I will hear from them in 10 days. It has been 40 days! What a joke!"
390,Third class service in first class,Busted seat no reservations and limited catering   Did get a tea that was clearly made in Newcastle I got on at Newark.  Just don't waste your money
391,Very poor customer service,I am very disappointed with Virgin trains customer service. Because my friend who is a registered blind person had his ticket stolen while on a visit to London he had to buy a replacement ticket from Virgin ticket staff at Euston they told us we would be able to reclaim the cost of £39.50 by supplying a crime number to Customer services. However Virgin customer services have decided to ignore that promise. I have also involved London travel watch who have apealed to Virgin on my behalf without success. London Travel watch have told me that they are very disappointed with Virgin trains attitude over this matter.
392,Grubby small minded company,Why do companies like Virgin think its fine to overcharge their customers?
393,WiFi on Virgin Trains is a joke,WiFi on Virgin Trains is an absolute joke.  I pay over £130 to travel to London and they expect me to pay for WiFi.  This is free on Arriva and Transpennine Trains.
394,Rubbish,"Myself, my husband and 11 year old son travelled from Manchester to London in December and I paid for first class tickets. The breakfast was awful and no snack box was offered on the way there. I am assuming that this was because part way through the journey they declassified first class. On the tannoy we were told to contact virgin who would compensate. I assumed this would be the difference between price for standard and first class. On our return journey, we tried to disembark the train at Manchester only to be pinned against the seats by Manchester Utd fans on their way home, who bombarded the train. They had no allocated seats which meant it was a free for all. My son was on crutches and couldn't move. The response from virgin 6 weeks later was a cheque for £15 compensation and an email to say if I wasn't happy with the conduct of the football fans,  to contact transport police and it's not their fault if people don't listen to instructions to let people leave the train before getting on. I've been told the compensation is sufficient. Rubbish customer service."
395,I travelled to London from Manchester …,"I travelled to London from Manchester and the service was exceptional, the staff Carole , Steve and Gail couldn't do enough for us ."
396,Censorship,"Virgin Trains’ decision to stop selling the Daily Mail is nothing short of censorship. What gives them the right to impose their prejudiced views on their customers? Well, my response will in future be to avoid using Virgin trains."
397,Excellent staff on board and would …,Excellent staff on board and would recommend 1st class from Edinburgh to Newcastle. App and wifi worked well.
398,Only their monopoly keeps them in business,From the top:
399,Just amazingly crap,Well I actually thought I was going to be in the minority giving this rating but it's refreshing to see that I'm not.
400,Started using them a few times a month,"Started using them a few times a month, but while their marketing is sleek their support service is very random and good luck trying to get them to reply when dealing with ticket refunds. You get passed around and once you reach (possibly) the right team they are super slow...."
401,First class vastly improved,What a difference a year makes. We travelled first class from Edinburgh to London's King Cross almost exactly a year ago and the service and food were very poor quality. Fast forward a year and it has vastly improved. A new James Martin menu has been introduced and it is so tasty. I got chicken curry on the way down and vegetable tagine on the way back. Both were lovely if a tad small - the muffin was moist and tasty - although on the way back they didn't have the advertised desert. The service was prompt and friendly and not stingy with the booze! Our journey was during the week so no idea if it is the same standard at the weekend.
402,Excellence in diversity,"I traveled last night Manchester to Euston and got caught in the debacle of signal failure at Stafford. We were delayed nearly 2 hours but we were kept informed all through and the train manger could not have been more helpful and professional. Virgini then arranged onward transport via taxi to my final destination because no further trains were available. The easy way it was handled and the clear actions of your train manager, whose name I do not know, will stand you in good stead through adverse times. Credit to you all. Keeping us informed was the key, we all knew what if anything was happening."
403,Compassionate and Helpful,"I was with my husband recently on a trip to London and he was taken ill during the night. I was anxious to get back home as quickly as possible and on arrival at Euston I was lucky enough to speak to Michael, the Train Manager for the West Coast line to Manchester. He was so helpful and assisted us with our seating and made the journey home more comfortable for my husband. Michael and his female boss are 2 young people who are a credit to Virgintrains and I want to highlight that fact by this review."
404,Call centre,So many problems with system with call centres being abroad and frustrating.
405,Rude Staffs,"I have been discriminated by a member of staff after asking to have my 16-25 years old discount card renewed. Although I'm a mature student, fallowing the company law, in order to have a discount card the university have to stamp the application form. ( which I had) one of the their member of staff said right on my face that as a mature student she thinks that I should not be allowed any discount card. How dare this women talks to customers like that? If I was applying for the card is because I was entitle to do so! And who is she to tell me otherwise? I used to love virgin company but their lack of politeness and rude staffs are letting the company down. Not acceptable."
406,Aftermath Customer Service- Laughable,"Recently travelled on a virgin train, unfortunately the train was delayed which meant I would then miss my connection train. I understand that these are unavoidable and you just have to make the best out of a bad situation. The staff on the train were very helpful and could not have done more. They explained to me to get on the next train and pay the difference in fair then attach all my evidence and sent to virgin who would compensate me for me loss."
407,Excellent website,I always receive text messages of my journeys and I get refunded for delays
408,Overpriced and a total rip-off,"It is ridiculously expensive and a total rip-off! The seats are small, unclean and some carriages absolutely smell terrible! Reservation is a nightmare. There are delays all the time and the staff can be so rude and unhelpful."
409,Thank you,Would like to thank the lady guard on the virgin train from Newcastle to Peterborough we were travelling with my elderly parents and my mam doesn't walk very well this lady went way beyond her duty to help not only helping my Mam off the train but getting us a complimentary coffees and organising a wheelchair to get us to the platform so we could continue our journey to Norwich thanks again for all the help you are all truly amazing
410,"UTTER RUBBISH,  NON CARING,  NON UNDERSTANDING,  RIP OFF MERCHANTS","Due to Virgin Trains  website problems  dare went up  and visited me!  I was going to Torquay  from London  to help a mentally severely depressed, llow income friend  DIY his run down house.  I couldn't  travel  in the end and Virgin refused  to refund  even a penny as kindness though tickets were  Jon refundable and they're  the cheapest  I could buy and I'm unemployed.  I write to their MD and Richard Branson.  No responsescat all. I even had problems  with other Virgin branded companies.  Virgin are a severe capitalist money making group  and don't  care about their customers. I have cancelled  all my contracts with Virgin companies because  of their poor service and customer focus in abilities."
411,Worst customer service,Worst customer service
412,virgin trains website is a mess !,virgin trains website is a mess !
413,First class but not....,"I have had reason to travel with Virgin trains twice in the last few months, one return trip to Manchester a while back and the other return to Liverpool, just last weekend."
414,"A positive 'what can we do to help?' attitude, much appreciated.","I had to call Virgin, to get customer assistance for my mother ( who is much more incapacitated than she would admit) I phoned on the day, an hour or so before the train. The attitude was so positive, and in the end the assistance was sorted. She also said that the care on her inward  journey ( also not organised) was also excellent. So a big thank you for that 'how can we help?' attitude. It was very much appreciated, especially as we were at fault for not organising ourselves sooner."
415,Only by chance did I see that my train …,"Only by chance did I see that my train to Glasgow in three weeks time had been cancelled, no email, nothing. They took my money when I booked, £133, and will not refund on the unusable tickets until I send them back by recorded delivery. I have no other means to pay for replacements until this is refunded to me, by then it will be too late to book anything else at a reasonable price. Total miss selling and rubbish treatment of customers. Anyone hoping to get to Glasgow from Manchester via Carlisle on 29th April will be sadly disappointed and won't know a thing about it until they turn up for the non existent service. The Customer call centre in India is appalling. Cant say how upset and annoyed I am."
416,Mobile website is downright dishonest,"Mobile website is downright dishonest. Booking process made it sound like I was reserving seats. Then after payment taken I receive an email saying no reserved seats. Also no option was given about which station to collect the tickets from, when you used to get this choice. Truly abysmal."
417,terrible customer services,Impossible to get compensation when one carriage was removed from our train so our group of 8 friends ended up sitting on the floor in the hallway for over 3 hours. Over 5 months now and no one dealt with the query as yet despite chasing. Very unprofessional service amd I would not recommend to use them
418,Phone line customer service an absolute disgrace,"I had been waiting for 3 weeks for delay repay compensation for a 2 hour delay from Euston to Birmingham New Street, which made me miss the main act of a UK Hardcore gig I flew in to see from NZ. Two weeks ago, I receive 10 pounds in the form of a cheque, from a ticket that costed 20 pounds. Now I am no mathematician, but it clearly stated on their letter attached with the cheque, that delays running over an hour will be reimbursed 100%. Furthermore, I enquire about further compensation of the Rave ticket+accomodation fees of the hostel as a ticket booth operator at Birmingham New Street mentioned I could request it. It's been 5 weeks now and no reply other than some automatic email response. I call Virgin trains Westcoast lines, in which they respond ""They are currently busy atm"" during office hours..I even went as far as to fb message a rep, who promised they would be in touch with me...Appalling customer service, would not recommend one bit."
419,Awful Company,Impossible to get compensation for delayed trains from this company. Over a month and no reply at all beyond the automatic acceptance emails (even when registering a formal complaint) is unacceptable. It smacks of sharp practice (i.e. make it as difficult as possible to claim compensation for delays so that most people give up). Appalling company. If you have a choice then pick a different rail company.
420,Disgraceful lack of customer care.,"Just take a megabus, at least they have plug sockets - dirty, overcrowded, uncomfortable as hell experience. For the prices they charge, the customer care is shocking"
421,Never again,I lost my return ticket from Euston  to Preston and had to buy another at a cost of £88. I showed the  customer service person my email proof of purchase but she wasn't interested. I understand the responsibility is mine but surely they could issue some sort of receipt for the ticket collector.
422,no sense,"virgin trans allow bookings on nominated trains without a reserved seat this could involve a 5 hr journey with children, standing. Surely this is wrong."
423,Travelling Virgin? Bring an oxygen mask,Why are new Virgin train carriages worse than older ones in terns of access to 02? Why are we burning co2 gases to heat trains and burn up oxygen to the point that it feels like travelling in 40 degrees in India rather than 10 degrees in March in the UK... Horrible journey; a 21c train with no window openings or air conditioning facility!  Great incubation carriages for bug transfer but impossible to sit  for any length ( I sweated for 1/2 hour before leaving for teh corridor outside!)
424,Worse than trains in India,"Worthy of particular contempt was a smelly, unwashed, self-important and greasy curly haired halfwit in Edinburgh (get a haircut and put on some deodorant) who told barefaced lies about the process of booking seats"
425,Grace Bowler Euston to Chester,"My mother was reavelling up to see me,her daughter in Chester"
426,Thre my daughter off the train.,my daughter uses these trains all the time and she forgot her railcard so went and notified the office at her train station n they said if she had her online account as proof that would be fine so she got on the train and whem they came along ahe showed her ticket and then asked for her railcard and my daughter told the conducter everytging and he threw her off she did nog know where she was and we had to pay £83 for a ticket she got kicked off a train even tho she had a ticket......my point is that coz she needed proof if her railcard in the 1st place to buy her ticket she done as she was told by the station assistant and he still threw her off the train she was in tears upset is an understatment she is 20 and travels alone so yeh i am taking this further shame you have to give 1 star to make a comment in the 1st place...seeking legal action over this its not on.
427,Stole £117 from me,"Only printed the first half of the return journey from Edinburgh to London, the staff refused to do anything and I had to pay £137 for a single to get back home. On emailing to complain they confirmed there was an error and they'd look into it. 3 and a half weeks later they write back to say the computer has said printed the tickets and it was my fault for leaving it in the machine but the would return the original £20 I paid for the advanced ticket leaving me £117 out of pocket."
428,Appalling Customer Service Delay and Repay,I have been trying to get delay and repay which should have gone through automatically as booked on my Virgin.Com  account get no replies from emails sent to them? no helps from online chat service and the customer service telephone number wont take calls refers you to online chat ! Have even tried emailing Phil Whittingham MD of Virgin West coast no reply from his email either appalling something needs to be done about them!!
429,Disgraceful Customer Service,"After 6 months we have still not received delay compensation. Initially filled in their online claim form. Waited 3 months no sign of any compensation. Wrote to them and was bounced around a bit until I was asked to resubmit details of journey again. After waiting again for over a month contacted them again and pointed out that they had already received their payment from Network Rail for the delay so where was mine. Waited again and then asked what train I was on. Fortunately I still had the seat reservation sent that off and reminded them that the whole trip was booked via their web site so they should have a record anyway. Usual reply ""wait ten working days "". It doesn't take 6 months to buy a ticket so why should we have to wait 6 months for compensation. From my contact with them it would appear that they are not interested in customer service. Disgraceful."
430,A first class service,"We joined the train at Edinburgh travelling first class to Kingscross, ( £200 for 3 people cheaper then flying ) every thing about the carriage was first class especially the seats, the train left absolutely on the dot and almost straight away was offered complementary snacks and drinks from some very friendly staff,this service continued through out the journey, I would say that the staff went out of their way to make our journey as pleasant as possible,the ride was very smooth and quiet with the train arriving bang on time at Kingscross. What a excellent service what a excellent experience.A big thank you to all the staff on the 1330 Saturday."
431,Poor reward system,Under East Coast trains had free travel on under used trains as a reward- this was FAB! Sadly Virgin has discontinued this excellent service. Bring it back!
432,Annoying a lot,"The day is 24/10/16. Every 15 second they have been announcing ""attention train cruw disabled passenger alarm operating "" OMG IT was really really annoying to every passenger after every 15 second for 3 hour probably. Disgusting,  rubbish"
